COUNTRY,FLOW,PARTNER,YEAR,VALUE
Belgium,Exports,France,2015,61555241559
Belgium,Exports,France,2016,59726736838
Belgium,Exports,France,2017,63709320941
Belgium,Exports,France,2018,67181632466
Belgium,Exports,Germany,2010,75639362253
Belgium,Exports,Germany,2011,86317248835
Belgium,Exports,Germany,2012,77777185757
Belgium,Exports,Germany,2013,79757457327
Belgium,Exports,Germany,2014,78536648518
Belgium,Exports,Germany,2015,67115262514
Belgium,Exports,Germany,2016,64822036484
Belgium,Exports,Germany,2017,71321700759
Belgium,Exports,Germany,2018,82394591171
Belgium,Exports,Greece,2010,2229050024
Belgium,Exports,Greece,2011,2215069322
Belgium,Exports,Greece,2012,1661459829
Belgium,Exports,Greece,2013,1665279335
Belgium,Exports,Greece,2014,1780766947
Belgium,Exports,Greece,2015,1653667912
Belgium,Exports,Greece,2016,1767005754
